Noise Level,FP Rate,FN Rate,Strategy,Protected Value ($),Protected Value Std,Value Preserved ($),Lost Value ($),Compromised Assets,Attack Success (%),ROI (%)
Low,40%,10%,CVSS-Only,"181,850","9,956","174,545","12,150",0.6,0.1,2389.5
Low,40%,10%,CVSS+Exploit,"176,700","8,615","169,404","17,300",0.8,0.1,2321.8
Low,40%,10%,Business Value,"178,000","9,165","170,749","16,000",0.8,0.1,2354.8
Low,40%,10%,Cost-Benefit,"174,500","7,228","167,076","19,500",0.9,0.1,2250.5
Low,40%,10%,Threat Intelligence,"178,300","10,000","170,852","15,700",0.7,0.1,2294.0
Low,40%,10%,RL Defender,"179,750","10,401","172,697","14,250",0.7,0.0,2448.7
Low,40%,10%,Hybrid Defender,"179,100","10,173","171,652","14,900",0.7,0.1,2304.7
Medium,60%,20%,CVSS-Only,"181,000","9,798","173,695","13,000",0.6,0.1,2377.8
Medium,60%,20%,CVSS+Exploit,"175,500","8,078","168,206","18,500",0.8,0.1,2306.2
Medium,60%,20%,Business Value,"174,900","7,395","167,649","19,100",0.9,0.1,2312.1
Medium,60%,20%,Cost-Benefit,"176,900","8,780","169,476","17,100",0.8,0.1,2282.9
Medium,60%,20%,Threat Intelligence,"178,700","9,970","171,252","15,300",0.7,0.1,2299.3
Medium,60%,20%,RL Defender,"179,800","10,361","172,750","14,200",0.7,0.0,2450.5
Medium,60%,20%,Hybrid Defender,"177,200","9,152","169,752","16,800",0.8,0.1,2279.2
High,90%,30%,CVSS-Only,"179,750","9,121","172,445","14,250",0.7,0.1,2360.7
High,90%,30%,CVSS+Exploit,"176,550","8,411","169,257","17,450",0.8,0.1,2320.7
High,90%,30%,Business Value,"175,800","7,922","168,549","18,200",0.8,0.1,2324.5
High,90%,30%,Cost-Benefit,"175,150","7,275","167,726","18,850",0.9,0.1,2259.3
High,90%,30%,Threat Intelligence,"179,200","9,847","171,752","14,800",0.7,0.1,2306.1
High,90%,30%,RL Defender,"178,750","9,679","171,703","15,250",0.7,0.0,2436.7
High,90%,30%,Hybrid Defender,"177,950","9,468","170,502","16,050",0.8,0.1,2289.3
